referencia;titulo_anuncio;estado_casa;ubicacion;año_construccion;nro_habitaciones;nro_baño;m2_terreno;nro_plantas;m2_edificados;nro_garajes;precio_venta
X645D4;CASA EN VENTA A ESTRENAR – COND. ICARAI;A estrenar;avenida a cotoca, Este, Santa Cruz;2020;3;2;451 m2;1;112 m2;2;U$S 88.000
S6553E;CASA EN VENTA A ESTRENAR– URB. PALMA VERDE;A estrenar;URB. PALMA VERDE, Este, Santa Cruz;2021;3;2;280 m2;1;120 m2;¡Preguntale!;U$S 75.000
PEA481;CASA EN VENTA CON EXCELENTE UBICACION EN ZONA ESTE SOBRE 4TO ANILLO;Sin Definir;Av. Nicolas Suarez Nº 3100 , 4to anillo entre Av. Paragua y Av. Canal cotoca, Este, Santa Cruz;¡Preguntale!;5;3;18.963 m2;2;215 m2;2;U$S 155.000
None;CASA EN VENTA CON EXCELENTE UBICACION EN ZONA ESTE SOBRE 4TO ANILLO;None;None;¡Preguntale!;None;None;None;None;None;None;None
ZA59C5;OCASION!!! CASA $us.129.700.- SUP.229M2 ZONA NORTE AV. SIMON LOPEZ Y AV. SEGUNDA;Buen estado;av.segunda y circunvalacion, Condebamba, Cochabamba;2014;5;3;229 m2;2;224 m2;3;U$S 129.700
E9142;CONDOMINIO JARDIN EUROPA;A estrenar;Cochabamba, Cochabamba;¡Preguntale!;3;3;230 m2;¡Preguntale!;272 m2;¡Preguntale!;U$S 235.000
K70B75;Casa en Venta en Los Pinos;Excelente estado;Los Pinos, La Paz;¡Preguntale!;5;3;398 m2;3;540 m2;1;U$S 650.000
S28A64;EN VENTA HERMOSA RESIDENCIA EN ACHUMANI;Excelente estado;Urb. Privada, Achumani, La Paz;¡Preguntale!;5;3;2.700 m2;2;900 m2;3;U$S 2.500.000
OA7EFA;Elegante Casa con piscina en Venta;Excelente estado;condominio Santa Cruz de la Colina, Urubó, Santa Cruz;2005;4;3;725 m2;1;400 m2;3;U$S 420.000
FB649C;CASA EN CONDOMINIO EN VENTA! Cota Cota La Paz-Bolivia;Excelente estado;Cota Cota, La Paz;¡Preguntale!;5;3;387 m2;3;410 m2;3;U$S 460.000
UBF344;CASA EN VENTA PLENA ESQUINA;Excelente estado;Ubicado 9no anillo virgen de lujan, Norte, Santa Cruz;¡Preguntale!;3;1;43.115 m2;1;172 m2;1;U$S 39.000
Q9167B;Casa en Urubo - Villa Bonita;Excelente estado;Villa Bonita, Urubó, Santa Cruz;2016;3;3;127 m2;2;211 m2;2;U$S 129.500
