index,referencia,titulo_anuncio,estado_casa,departamento,ubicacion,nro_habitaciones,nro_baño,m2_terreno,nro_plantas,m2_edificados,nro_garajes,precio_venta,antiguedad
986,Z610AB,AMPLIA CASA DE 3 NIVELES DE 5 DORMITORIOS ZONA NORTE AV ALEMANA 4TO ANILLO,Excelente estado,Santa Cruz,Norte_ Santa Cruz,5.0,3,186.0,3.0,232.0,2.0,196000.0,
987,E2D0DD,CHALET CONFORTABLE -TROJES- EN CONDOMINIO LOTE 550M2.,Excelente estado,Cochabamba,Av. Ecológica y Calle Caracol_ Tiquipaya_ Cochabamba,4.0,3,550.0,2.0,280.0,3.0,235000.0,12.0
988,WA686E,CASA EN VENTA ZONA NORTE 6TO ANILLO CONDOMINIO PRIVADO,Excelente estado,Santa Cruz,6TO ANILLO ZONA NORTE ENTRE AV. ALEMANA Y AV. BENI_ Norte_ Santa Cruz,3.0,3,300.0,2.0,280.0,2.0,235000.0,8.0
989,I78F1A,HERMOSA CASA EN SEVILLA LAS TERRAZAS,Excelente estado,Santa Cruz,Condominio Sevilla Las Terrazas 1_ Norte_ Santa Cruz,3.0,1,197.0,1.0,95.0,1.0,87000.0,
990,H22E8F,Vendo sector Equipetrol cerca Mall Ventura una Bonita Casa de 332m2,Buen estado,Santa Cruz,calle Pablo Bush frente a la cancha _ Equipetrol_ Santa Cruz,3.0,3,351.0,2.0,333.0,3.0,320000.0,13.0
991,PC4A3E,CASA DE LUJO EN COND.LA HACIENDA DEL URUBO!,A estrenar,Santa Cruz,CONDOMINIO LA HACIENDA EL URUBO _ Urubó_ Santa Cruz,5.0,3,771.0,2.0,588.0,3.0,670000.0,1.0
994,RCF6D8,Casa en venta en el barrio hamacas,Buen estado,Santa Cruz,Av Beni entre 3 y 4 anillo_ Hamacas_ Santa Cruz,3.0,3,325.0,2.0,256.0,1.0,225000.0,
995,LF21F8,"CASA A ESTRENAR EN EQUIPETROL, de 4dorms.",A estrenar,Santa Cruz,BRIGIDA/EQUIPETROL: Calle Cadario_ a 30 metros del 4to. Anillo._ Norte_ Santa Cruz,4.0,3,204.0,2.0,207.0,2.0,225000.0,1.0
996,A81397,"Zona NORTE, Km. 8.5 entrando por la Banzer",A estrenar,Santa Cruz,Km. 8.5 entrando por la Banzer_ Norte_ Santa Cruz,3.0,2,188.0,1.0,115.0,2.0,89900.0,1.0
998,Y421B8,CASA EN VENTA EN POLANCO - AV. SAN AURELIO 3ER Y 4TO ANILLO,Excelente estado,Santa Cruz,Av. San Aurelio 3er y 4to anillo_ Barrio Polanco_ Polanco_ Santa Cruz,2.0,3,205.0,1.0,119.0,2.0,145000.0,
999,R4FB7A,CASA,A estrenar,Santa Cruz,CARRETERA A COTOCA KM 15_ Este_ Santa Cruz,3.0,2,169.0,1.0,90.0,,45000.0,1.0
1001,E1A681,Casa en venta - Condominio Achachairu,A estrenar,Santa Cruz,Condominio Achachairú Urubo_ Urubó_ Santa Cruz,3.0,3,320.0,2.0,170.0,2.0,155000.0,1.0
1002,T4D497,HERMOSA CASA RESORT KAÑUMA,Excelente estado,La Paz,Mallasilla_ La Paz,4.0,3,180.0,2.0,230.0,2.0,167000.0,
1003,H90866,Hotel 4 Estrellas,Excelente estado,La Paz,Centro_ La Paz,5.0,3,315.0,3.0,2347.0,3.0,2550000.0,
1004,H1BC40,Amplia casa en venta,Excelente estado,Santa Cruz,Fonta la riviera i_ Norte_ Santa Cruz,5.0,3,262.0,1.0,187.0,2.0,119000.0,3.0
1005,DCE810,Casa en Venta Urbanización Ciudad Jardín Zona Norte,Excelente estado,Santa Cruz,6to anillo norte_ Norte_ Santa Cruz,4.0,3,380.0,2.0,460.0,3.0,450000.0,3.0
1006,W267DE,CASA 2 PISOS en el URUBO,A estrenar,Santa Cruz,Condominio Florida 1 - Urubo_ Urubó_ Santa Cruz,4.0,3,453.0,3.0,280.0,2.0,175000.0,1.0
1008,UDE980,"EN CARRETERA A COTOCA, ZONA MAPAIZO SE VENDE CASA CON ESPACIO COMERCIAL",Buen estado,Santa Cruz,carretera a cotoca_ mapaizo_ av. Parque Industrial Latinoamericano._ Este_ Santa Cruz,3.0,1,1043.0,1.0,251.0,3.0,80000.0,7.0
1009,H9E2E3,Casa en venta zona URUBO,Excelente estado,Santa Cruz,Condominio lomas del Bosque_ Urubó_ Santa Cruz,3.0,3,365.0,1.0,142.0,3.0,128000.0,3.0
1010,K52144,CASA EN VENTA Condominio Sevilla Pinatar,Buen estado,Santa Cruz,Sevilla Pinatar8_ Norte_ Santa Cruz,3.0,3,118.0,1.0,250.0,2.0,113000.0,8.0
1011,I1EF45,En Pre-Venta! Hermosas Casas en el Úrubo,En construcción,Santa Cruz,Úrubo_ a 6 minutos del puente Mario Foianini_ Urubó_ Santa Cruz,3.0,3,210.0,2.0,153.0,2.0,145000.0,1.0
1012,V2F278,En Venta! Hermosas Casas en Zona Norte,A estrenar,Santa Cruz,Av. Banzer Km. 9_ Norte_ Santa Cruz,3.0,3,185.0,2.0,140.0,2.0,77000.0,1.0
1013,K144C2,casa en venta,Requiere mantenimiento,Santa Cruz,CANAL COTOCA ENTRE 3ER Y 4TO ANILLO_ Este_ Santa Cruz,4.0,3,258.0,1.0,182.0,1.0,98000.0,33.0
1014,K923B0,CASA EN VENTA EN URBANIZACION CASA DE CAMPO COUNTRY CLUB Y RESIDENCIAS,Buen estado,Santa Cruz,Carretera al norte_ Km 9_ Remanso_ Santa Cruz,4.0,3,315.0,2.0,160.0,2.0,165000.0,
1015,N8F3AF,Vendo en Equipetrol 2do anillo una linda Casa 170m2 construidos,Excelente estado,Santa Cruz,Equipetrol 2do anillo cerca Av San Martín_ Equipetrol_ Santa Cruz,3.0,3,168.0,2.0,170.0,1.0,245000.0,23.0
1016,RB72EE,"Linda casa en venta, 4 dormitorios, Condominio Ciudad Jardin",Excelente estado,Santa Cruz,Condominio Ciudad Jardin_ Norte_ Santa Cruz,5.0,3,388.0,2.0,388.0,3.0,269000.0,
1017,F4C4B8,CASA CON TIENDAS SOBRE AVENIDA EN ZONA POPULOSA,Requiere mantenimiento,Santa Cruz,Barrio Casanova II_ Av. Guabirá a 1 cuadra del 6º anillo_ Sur_ Santa Cruz,4.0,2,250.0,1.0,182.0,1.0,109000.0,
1018,D8E2AC,CASA CÉNTRICA CON ESQUINA COMERCIAL,Excelente estado,Santa Cruz,C/21 de mayo esq. Rafael peeña _ Centro_ Santa Cruz,3.0,3,20573.0,2.0,361.0,2.0,265000.0,
